81099,84305,84590
15595,48655,86307,88268
35611,67259,73445,73685
35666,39716,87210,87408
35699,57088,77679,79534
35718,51126,81338,81818
35870,67141,73106,73883
35883,40081,86795,87241
36074,38220,87551,88155
36130,49618,81944,82308
36428,52411,79925,81236
36541,49934,81482,82043
36615,38308,87159,87918
36808,40246,86218,86728
36840,42767,85052,85341
36905,42087,85235,85773
36943,39711,86427,86919
37019,47130,82457,83394
37227,50649,80909,81215
37242,49030,81813,81915
37369,40318,86086,86227
37385,39235,86367,87013
37450,47700,82168,82682
37765,43406,83380,85449
38023,64407,73635,73935
38069,38949,86395,86587
38193,40349,75018,96440
38338,64344,73461,73857
38926,43702,83536,83836
39144,50177,79939,80740
39406,53278,77945,79371
39774,45120,80938,84168
41948,58089,73451,76512
42136,48566,78394,80904
43708,54286,73318,78688
46362,46916,76329,80393
47610,52839,73374,76177
50030,58263,70787,70920
50306,56192,71644,71858
592,16748,51653,90382,90625
605,2872,48711,98761,99051
609,2252,52312,97298,97529
611,1311,50896,98515,98667
621,1577,48178,99713,99911
627,3566,51987,96819,97001
628,7784,46122,97651,97815
646,2861,51118,97616,97759
647,8758,46679,96841,97075
651,14648,50994,91705,92002
655,2121,53978,96512,96734
656,7184,61996,89996,90168
659,2916,47679,99280,99466
665,14662,45779,94359,94535
672,2420,47434,99633,99841
700,11507,38539,99506,99748
731,994,52647,97752,97876
740,16423,43950,94341,94546
763,11596,53130,92152,92359
764,5197,44738,99537,99764
775,7533,57277,92150,92265
804,4994,48115,97984,98103
819,4799,55196,94498,94688
821,4192,47114,98814,99059
823,2658,46877,99644,99998
824,1808,53402,96897,97069
838,1239,50967,98375,98581
843,37624,59900,75042,76591
860,21775,38113,93283,95969
867,28452,32879,93081,94721
882,7513,43047,99158,99400
883,30185,34786,91660,92486
909,15652,40287,96464,96688
920,6790,69284,85635,87371
927,1127,48409,99652,99885
928,6800,44558,98733,98981
954,30207,31489,92896,94454
972,14959,44272,94802,94995
976,4875,52175,95862,96112
978,25761,27391,97795,98075
990,13507,43220,96050,96233
1001,5927,43570,99642,99860
1023,1991,54859,95996,96131
1053,7012,43919,98908,99108
1056,5254,48897,97293,97500
1087,8763,48084,95944,96122
1095,7173,50289,95604,95839
1096,5957,43519,99601,99827
1098,15469,47314,92972,93147
1103,11072,50231,93726,93868
1114,1661,57366,94829,95030
1117,9973,51372,93693,93845
1120,4150,51070,96695,96965
1156,1941,48327,99155,99421
1159,3139,50390,97594,97718
1163,2922,51319,97181,97415
1169,5567,43625,99690,99949
1170,6348,48442,96932,97108
1172,7353,53813,93776,93886
1198,7903,47616,96547,96736
1209,23378,32368,93607,99438
1215,1571,51700,97679,97835
1217,5646,53195,94859,95083
1227,4830,47057,98314,98572
1228,2037,47935,99306,99494
1235,13555,50933,92047,92230
1247,3570,49813,97604,97766
1248,14611,59062,87479,87600
1252,26685,31919,90973,99171
1285,5979,54353,94113,94270
1291,8128,51765,94304,94512
1293,9335,43957,97644,97771
1294,5119,55161,94123,94303
1296,4942,46738,98413,98611
1301,6180,44019,99145,99355
1306,4910,44891,99333,99560
1307,6159,44799,98737,98998
1323,4654,52553,95634,95836
1324,5661,44393,99217,99405
1325,8751,47698,96036,96190
1353,8570,53904,92998,93175
1355,7495,50489,95238,95423
1384,7668,44940,97928,98080
1412,3166,47674,98739,99009
1427,5536,53495,94658,94884
1435,8576,51779,93986,94224
1444,9987,44769,96800,97000
1445,5250,46177,98484,98644
1466,12320,53405,91305,91504
1473,6523,46651,97643,97710
1510,7154,49425,95842,96069
1513,4243,53049,95480,95715
1520,2911,47744,98765,99060
1521,7126,53634,93806,93913
1525,10833,46967,95284,95391
1535,24533,45471,88932,89529
1541,6725,52005,94758,94971
1550,6166,54612,93746,93926
1558,2953,48644,98287,98558
1593,7429,49721,95548,95709
1618,8540,47808,95945,96089
1626,4049,49550,97282,97493
1643,5890,47821,97216,97430
1687,4000,50550,96794,96969
1689,3427,48955,97858,98071
1690,4298,50047,96898,97067
1706,17766,43742,93299,93487
1712,7391,48037,96332,96528
1717,6244,46521,97685,97833
1741,6703,42742,99296,99518
1763,5044,53319,94834,95040
1768,2033,49454,98211,98534
1775,8849,55069,92064,92243
1781,5458,58169,92175,92417
1785,7560,50963,94725,94967
1800,2625,51527,96911,97137
1819,16526,50537,90448,90670
1835,3194,50342,97231,97398
1847,3033,51178,96887,97055
1855,35179,39057,86876,87033
1876,4335,44157,99722,99910
1890,11971,52532,91714,91893
1901,2696,61159,92030,92214
1919,19670,32571,97595,98245
1928,30047,34640,91534,91851
1955,3684,47328,98423,98610
1987,3236,45138,99746,99893
2015,9919,41923,98042,98101
2016,7262,47573,96511,96638
2035,32416,57404,79024,79121
2051,5030,50018,96347,96554
2074,5688,49113,96480,96645
2098,11991,49990,92876,93045
2101,14244,47790,92742,93123
2103,5345,45796,98219,98537
2123,15074,48428,92111,92264
2138,10266,62501,87478,87617
2143,22333,47519,88908,89097
2157,2566,50601,97255,97421
2158,2652,52934,96056,96200
2161,11688,59536,88231,88384
2178,10179,49468,93998,94177
2228,14235,35605,98281,99651
2234,18507,46498,91289,91472
2266,9651,44230,96808,97045
2282,10183,47705,94789,95041
2292,4634,50710,96088,96276
2293,13355,46223,93954,94175
2295,5615,54392,93792,93906
2337,2569,47412,98704,98978
2339,5824,47387,97138,97312
2358,29811,37136,90133,90562
2379,8136,48122,95574,95789
2382,11667,55615,90078,90258
2385,4548,52519,95171,95377
2406,7319,42593,98726,98956
2407,10115,48416,94426,94636
2417,14913,56974,87764,87932
2446,3487,45312,99283,99472
2450,3910,51331,96080,96229
2494,14323,52028,90494,90661
2526,5918,45475,97988,98093
2536,16302,53349,88800,89013
2546,7831,52171,93639,93813
2553,5351,44011,99005,99080
2557,15154,57242,87448,87599
2595,10720,46130,95173,95382
2596,3124,45370,99348,99562
2598,4087,50409,96353,96553
2599,11810,59876,87771,87944
2605,3243,45735,99067,99350
2610,10527,63318,86660,86885
2613,7482,49176,95295,95434
2617,15740,58970,86270,86403
2668,7885,59241,90010,90196
2713,6387,51738,94483,94679
2746,4620,47084,97711,97839
2748,13658,55042,89189,89363
2769,8323,42493,98197,98218
2773,11745,47242,94026,94214
2851,5498,51051,95195,95405
2854,8704,42692,97801,97949
2856,12761,42409,95845,96129
2869,12602,45490,94431,94608
2882,26478,53442,82923,84275
2884,3253,48967,97357,97539
2900,9021,58573,89643,89863
2927,17516,42799,93307,93451
2957,12552,48211,93068,93212
2977,11907,56269,89338,89509
2982,12550,43966,95140,95362
2992,5007,57765,92041,92195
3003,9491,53226,92042,92238
3007,3890,51957,95462,95684
3014,8745,47165,95411,95665
3041,12276,41604,96449,96630
3044,18624,48737,89655,89940
3053,8765,58605,89652,89925
3063,5165,60821,90373,90578
3077,20034,61091,82782,83016
3108,6082,47034,96804,96972
3121,20118,50169,88077,88515
3122,17287,57702,85814,86075
3134,4006,59136,91754,91970
3137,9068,44514,96525,96756
3150,16151,49827,90347,90525
3177,14679,44592,93706,93846
3184,13286,43045,95133,95352
3204,13022,50068,91717,91989
3211,7728,40348,99246,99467
3213,10107,52276,92144,92260
3233,5663,55064,92940,93100
3252,9153,41455,98003,98137
3261,33685,54365,79082,79607
3292,6037,50863,94806,95002
3313,4614,45918,98020,98135
3321,4658,47279,97279,97463
3333,9042,55462,90949,91214
3337,4735,44352,98694,98882
3339,19086,36777,92664,98134
3370,9653,49358,93732,93887
3385,4540,44512,98690,98873
3394,4214,47666,97269,97457
3401,3788,46009,98266,98536
3409,30232,49010,83541,83808
3425,14691,52368,89657,89859
3433,22865,34607,92308,96787
3437,4301,51802,95113,95347
3444,4718,50312,95633,95893
3448,7960,50985,93731,93876
3453,5621,43088,98803,99035
3456,7942,50103,94174,94325
3459,12683,55768,88963,89127
3488,4953,49960,95658,95941
3503,28204,46275,85228,86790
3511,6229,42578,98691,98991
3514,17931,50599,88887,89069
3518,6035,50662,94787,94998
3539,5937,53564,93392,93568
3542,10069,56994,89607,89788
3555,11951,39223,97570,97701
3559,31773,38890,87177,88601
3572,7139,42310,98382,98597
3587,8885,49921,93724,93883
3591,7460,44035,97362,97552
3620,10756,46016,94703,94905
3652,5112,48145,96468,96623
3656,17076,31922,98522,98824
3660,11514,53620,90505,90701
3666,16864,42535,93358,93577
3708,21130,59280,82835,83047
3714,12453,65165,84262,84406
3722,7087,48788,95099,95304
3740,10612,58618,88388,88642
3763,11765,47379,93410,93683
3764,10602,37216,98548,99870
3776,22690,37916,92028,93590
3799,4440,45573,98046,98142
3886,8929,53555,91704,91926
3893,4874,53029,94009,94195
3895,7669,42294,98019,98123
3901,11373,50425,92065,92236
3909,10976,49789,92598,92728
3912,11462,56747,88853,89026
3968,6240,50664,94474,94654
3969,30112,39254,88002,88663
3970,13337,61101,85716,85876
3979,6984,45057,96906,97074
3991,10807,51787,91630,91785
4011,6802,43094,98030,98063
4022,18324,52380,87534,87740
4056,5481,55270,92478,92715
4065,11551,58554,87827,88003
4074,15542,43596,93320,93468
4076,5168,47816,96370,96570
4090,6182,45971,96771,96986
4095,29948,40316,87698,87943
4100,4694,46636,97154,97416
4109,5245,49317,95576,95753
4116,6198,45555,96928,97203
4132,11318,48221,93079,93250
4136,7981,57584,90070,90229
4138,8658,40462,98212,98530
4142,4308,51091,95102,95357
4184,37147,37984,74647,96038
4187,32118,48647,71683,93365
4201,14215,63168,84116,84300
4205,10669,49895,92498,92733
4211,4636,42474,99227,99452
4229,19245,52223,87034,87269
4262,31783,36855,88010,89090
4269,12416,46598,93260,93457
4304,22801,42057,89349,91489
4312,5559,57988,90933,91208
4344,5418,67320,86369,86549
4359,7101,44492,96908,97140
4361,6040,51525,93932,94142
4366,25463,38869,90008,91294
4370,7624,46856,95471,95679
4374,7772,54984,91361,91509
4381,13628,49001,91423,91567
4416,10968,46293,94065,94258
4473,4668,63695,88475,88689
4503,7851,54187,91671,91788
4525,7256,50717,93690,93812
4527,13654,52463,89613,89743
4561,6432,41459,98731,98817
4562,13270,34218,98859,99091
4598,7472,47566,95094,95270
4602,6950,46154,96072,96222
4609,11562,65090,84293,84446
4621,6961,47850,95190,95378
4646,6320,46038,96417,96579
4659,8089,59381,88852,89019
4662,14833,41524,94400,94581
4664,16272,45602,91632,91830
4712,11236,55277,89291,89484
4719,9745,41476,96914,97146
4731,26047,37991,84529,96702
4736,29911,36580,89279,89494
4756,20266,44154,90332,90492
4764,9151,44288,95817,95980
4766,13665,50478,90413,90678
4781,7075,41064,98417,98663
4809,9393,43616,96027,96155
4813,34450,40017,84426,86294
4820,23577,48872,86279,86452
4854,12403,45215,93692,93836
4859,11994,54356,89296,89495
4868,9521,56321,89566,89724
4871,12706,50472,90871,91080
4907,8947,44937,95534,95675
4915,19005,46346,89472,90262
4918,9606,53421,90915,91140
4944,8343,43920,96283,96510
4946,9688,43991,95556,95819
4956,6705,42473,97841,98025
4963,12647,49565,91332,91493
4991,7235,56035,90761,90978
4996,13728,57832,86610,86834
4998,7663,55493,90786,91060
5001,7049,44992,96357,96601
5033,18250,50422,88039,88256
5034,9350,45871,94753,94992
5054,11122,57962,87861,88001
5071,10500,47522,93350,93557
5083,11996,48469,92153,92299
5111,6857,55171,91337,91524
5121,12233,44912,93807,93927
5132,13854,62805,83997,84212
5134,9251,49380,93021,93214
5143,5517,48856,95121,95363
5152,10217,55913,89264,89454
5196,5463,44024,97597,97720
5231,6378,53329,92441,92621
5249,20014,55011,84757,84969
5279,12330,36821,97705,97865
5287,20027,50549,86985,87152
5297,18801,56266,84707,84929
5324,5630,48451,95186,95409
5326,18964,57994,83794,83922
5344,32432,47068,82515,82641
5347,5647,51420,93715,93871
5356,5870,44282,97206,97286
5358,17696,71191,77497,78258
5368,15387,48922,90042,90281
5376,9932,53706,90381,90605
5385,19884,58357,83098,83276
5405,22799,42357,89572,89867
5407,12502,54915,88492,88684
5408,10751,56483,88549,88809
5417,5736,51891,93357,93599
5422,21243,40800,91164,91371
5426,13032,54355,88451,88736
5440,9214,50057,92532,92757
5441,28786,36168,89620,89985
5447,14299,59080,85507,85667
5449,16891,50582,88432,88646
5461,51866,53111,65221,74341
5494,12566,51808,89994,90138
5552,20070,41687,91251,91440
5554,7112,51188,92973,93173
5571,15011,33455,97930,98033
5601,6237,49097,94436,94629
5606,23090,55413,82837,83054
5658,22564,47466,87046,87266
5678,24788,54459,82480,82595
5706,8024,53627,91200,91443
5711,9632,49634,92384,92639
5739,26023,36660,89354,92224
5764,6824,61660,87792,87960
5765,21259,58319,82270,82387
5788,7490,60272,88124,88326
5808,6939,41665,97714,97874
5848,10878,47261,92906,93107
5865,8609,53556,90873,91097
5889,9821,36551,98084,99655
5894,11979,45270,93336,93521
5933,8858,57395,88807,89007
5952,14185,53527,88088,88248
5970,8772,47815,93629,93814
5999,19110,49646,87516,87729
6030,8422,60337,87514,87697
6053,13037,41365,93419,96126
6098,27341,58156,78982,79423
6131,15719,44311,91814,92025
6139,14852,36160,96297,96552
6164,29607,51127,81458,81644
6175,13871,33768,97684,98502
6191,27506,27924,91764,96615
6219,10104,53419,90040,90218
6226,28618,30913,91277,92966
6241,12306,55611,87847,87995
6245,18599,45688,89636,89832
6313,7535,47618,94194,94340
6319,8832,42658,96012,96179
6331,10783,52714,89999,90173
6335,17481,46861,89585,89738
6336,7409,46646,94711,94898
6366,8834,40101,97302,97397
6369,8162,44322,95475,95672
6376,11154,45638,93313,93519
6422,9564,44256,94769,94989
6457,9207,58140,88019,88177
6465,7338,49927,93023,93247
6482,14331,33144,97967,98076
6486,12911,53416,88496,88691
6541,37559,49079,78077,78744
6550,18112,41378,91492,92468
6591,33541,63541,73069,73258
6596,18979,53377,85439,85609
6605,15572,37246,93102,97475
6612,9115,39204,97510,97559
6617,16367,55822,85485,85709
6624,30227,37176,84383,91590
6668,16574,30110,97974,98674
6670,26934,43615,86319,86462
6675,16359,42398,92160,92408
6689,7318,57096,89361,89536
6715,7910,45928,94644,94803
6730,10890,62819,84633,84928
6745,12864,56122,87012,87257
6746,12703,60135,85109,85307
6749,16474,46647,89966,90164
6765,17234,45586,90098,90317
6782,9477,51820,90842,91079
6796,9121,42802,95546,95735
6807,7790,47846,93710,93847
6812,9069,54054,89928,90137
6815,13061,55878,87016,87230
6837,11699,43096,94139,94229
6863,8954,54985,89519,89679
6879,7551,46648,94401,94521
6915,11245,58270,86681,86889
7013,8049,44428,95141,95369
7029,15451,51819,87767,87934
7052,7996,47421,93688,93843
7080,11896,74729,78043,78252
7103,9142,57441,88071,88243
7150,10139,40411,96074,96226
7179,11121,49002,91239,91459
7194,9238,54737,89316,89515
7210,17748,68608,78111,78323
7222,28159,59561,77076,77982
7231,17430,59617,82781,82941
7251,18288,58015,83106,83340
7271,20210,43257,89578,89684
7288,13265,46558,91341,91548
7300,15819,37575,94640,94666
7308,15006,59975,83793,83918
7326,10133,61708,85321,85512
7331,11244,51236,90011,90178
7333,9379,61452,85803,86033
7371,34982,41566,81560,84521
7375,38918,45667,78914,79126
7382,22605,38407,90187,91419
7400,12988,57876,85779,85957
7403,9293,44868,94147,94289
7439,12526,47391,91199,91445
7441,16078,40457,92923,93101
7444,12545,47946,90948,91117
7445,9538,46132,93353,93532
7517,12601,61664,83989,84229
7548,8470,60439,86656,86887
7575,8275,50606,91682,91862
7609,11750,45295,92557,92789
7619,14503,49764,88945,89169
7658,8806,54680,89186,89670
7675,25092,38279,89446,89508
7730,8135,41237,96320,96578
7734,8706,55228,83938,94394
7736,11538,47251,91653,91822
7746,11770,42075,94135,94274
7758,8596,51536,90923,91187
7759,11627,39769,95342,95503
7773,9613,53664,89398,89552
7816,10790,59777,85718,85899
7833,9484,55362,88564,88757
7861,17552,39477,92467,92643
7878,13296,50163,89220,89443
7897,13274,57009,85819,86001
7909,19541,43259,89588,89703
7988,8776,44152,94452,94632
8016,16081,40441,92607,92855
8036,11125,41961,94364,94514
8050,27006,34617,83818,96509
8064,14265,46667,90377,90627
8071,13941,54480,86633,86875
8101,16601,56547,84315,84436
8104,29226,41344,85623,85703
8126,10134,44699,93382,93659
8138,10871,44097,93329,93565
8140,32562,33996,87640,87662
8149,9601,48484,91756,92010
8161,19003,49152,86745,86939
8208,9025,38552,96949,97266
8218,8620,46813,93095,93254
8250,13528,49521,89242,89459
8270,10032,48117,91699,91882
8271,9130,41255,95595,95749
8276,9635,53500,89207,89382
8278,39241,39397,81391,81693
8281,14574,49105,88938,89102
8287,27107,35191,89619,89796
8299,20825,49086,85799,85991
8322,8434,41969,95590,95685
8335,13382,46488,90819,90976
8370,12506,42783,93090,93251
8405,29077,53848,79250,79420
8469,11685,34177,97754,97915
8479,10165,43075,94024,94257
8490,14914,55841,85301,85454
8491,24056,53022,82134,82297
8498,9641,58943,86381,86537
8509,20684,57645,81459,81703
8511,10633,51298,89642,89916
8530,17188,54828,84606,84848
8559,10651,59702,85446,85642
8573,9949,42964,94184,94330
8581,13569,46206,90679,90965
8606,28506,47074,82814,83000
8608,19451,30690,93236,98015
8613,12014,50716,89230,89427
8627,10421,57291,86706,86955
8663,17256,54792,84563,84726
8675,15253,56570,84628,84874
8682,10223,63480,83732,83883
8691,14802,62011,82178,82318
8713,11003,69147,80417,80720
8746,10125,50175,90338,90616
8766,11234,40870,94491,94639
8812,11598,53885,87768,87937
8865,14542,66253,80076,80264
8867,40292,46281,76733,77827
8882,10470,55020,87758,87870
8927,21367,37770,90827,91109
8974,12814,46102,91022,91088
8988,17295,59814,81854,82049
8989,11857,51038,88972,89144
9056,25753,33439,81780,99972
9099,25398,38505,88235,88763
9131,10995,52820,88404,88650
9176,22778,54611,81628,81807
9184,11987,44569,92063,92197
9210,14617,56481,84724,84968
9231,10236,42584,93908,94041
9249,18881,50158,85771,85941
9250,26516,49626,82192,82416
9252,15394,54450,85346,85558
9264,25402,41154,87010,87170
9286,37574,56940,72787,73413
9305,10981,59423,85033,85258
9308,10818,51972,88857,89045
9347,12581,57139,85379,85554
9351,30763,46002,81159,82725
9354,19826,45319,87658,87843
9358,22971,55495,80946,81230
9397,25794,44542,85014,85253
9415,12901,43156,92155,92373
9424,12494,59743,84079,84260
9428,10551,53010,88393,88618
9460,15780,46713,88947,89100
9462,10915,53006,88232,88385
9463,17589,45856,88444,88648
9486,17399,59188,81871,82056
9489,19344,53842,83538,83787
9547,22886,58751,79283,79533
9565,22546,39968,88769,89152
9570,14139,42097,92003,92191
9580,13933,54403,85925,86159
9593,32762,41206,83095,83344
9607,31660,44289,82093,82351
9616,12897,56411,85442,85634
9618,22025,64454,76855,77048
9661,13544,44082,91264,91449
9682,15380,45501,89633,89804
9721,16184,58159,82844,83092
9732,16857,52402,85408,85601
9738,20528,43240,88213,88281
9752,11056,61675,83635,83882
9796,10891,52780,88165,88368
9808,12316,62041,82828,83007
9816,35414,37143,83213,84414
9827,10810,44899,92166,92298
9864,36995,42568,70620,89953
9885,30773,32941,82990,93411
9892,14756,40987,92106,92259
9904,16248,47337,88183,88328
9921,17162,45818,88439,88660
9943,20713,47637,85763,85944
9945,17120,41904,90388,90643
9953,11289,58580,84962,85216
9976,16065,55737,84002,84220
9978,17359,53777,84386,84500
9991,12481,52969,87167,87392
9992,21718,66788,75629,75873
9999,17993,45759,88026,88223
10004,24667,52053,81503,81773
10014,13819,48774,88575,88818
10017,16858,48085,87462,87578
10049,20383,45094,87128,87346
10088,23514,61747,77198,77453
10090,19236,38759,90853,91062
10106,10859,58817,84978,85240
10123,15225,44438,90021,90193
10136,36174,55411,74002,74277
10145,24809,37071,88784,89191
10149,12738,40396,93264,93453
10153,16200,32889,93785,96973
10156,20594,52721,83156,83373
10172,16453,54644,84281,84450
10229,30415,51357,78901,79098
10249,14660,54716,85086,85289
10271,30526,49371,79828,80004
10276,15086,55845,84326,84467
10279,34027,41349,82088,82257
10289,24713,41334,86437,87227
10363,12796,41622,92593,92626
10367,11531,46940,90468,90694
10378,16876,58127,82255,82364
10392,14936,53697,85376,85599
10405,27972,51762,79835,80026
10424,12073,51919,87702,87882
10436,27552,61561,75135,75316
10444,14055,65109,80101,80291
10450,24579,49760,82536,82675
10452,28339,43789,83574,83846
10456,35406,47039,78413,78686
10457,11947,54137,86629,86830
10475,20440,62635,78135,78315
10478,12333,58802,84090,84297
10482,26789,37953,86942,87834
10483,13596,42441,91625,91855
10532,33083,50024,78081,78280
10535,11577,42723,92576,92589
10548,13660,54587,85513,85692
10563,20624,62353,78138,78322
10576,16424,54012,84434,84554
10577,31752,52860,77327,77484
10582,17431,50210,85787,85990
10588,23006,45904,85188,85314
10627,11228,39829,94114,94202
10645,13977,52790,86171,86417
10736,15949,67764,77676,77875
10739,10879,50661,88767,88954
10758,17452,51300,85157,85333
10760,15336,49367,87149,87388
10765,10892,64339,81932,82072
10774,15252,45794,89001,89179
10775,13632,55271,85049,85273
10838,16997,46487,87761,87917
10870,18021,55973,82497,82639
10874,33054,47795,79069,79208
10888,19260,54602,82542,82708
10911,11315,58374,84580,84820
10916,15177,61475,81087,81345
10927,16676,60353,80867,81177
10953,26452,30223,90984,91388
10994,19569,43059,88113,88265
11004,11681,42047,92494,92774
11017,15495,43316,90064,90108
11042,23702,54205,80383,80668
11043,18558,37199,91467,91733
11124,17991,48924,85864,86097
11149,12008,39928,93356,93559
11151,18471,49809,85194,85375
11198,32260,44634,77340,84568
11216,13678,49956,87528,87622
11221,12193,60091,83138,83357
11222,37214,55880,72624,73060
11230,13217,43460,90914,91179
11254,17066,50004,85727,85949
11310,16739,48979,86378,86594
11324,24057,38361,87741,88517
11331,32928,51708,76934,77099
11340,28370,57745,76199,76346
11372,14892,59222,82184,82330
11374,19689,70766,74004,74167
11395,16743,46456,87543,87863
11398,16020,57469,82491,82622
11405,15190,50481,86368,86556
11433,24009,62776,75780,76002
11439,17771,69563,75503,75724
11456,16691,51581,85010,85262
11457,27969,54007,78191,78376
11519,14211,51466,86312,86492
11534,26473,44445,83649,83899
11540,13307,52162,86384,86607
11569,22334,27128,90762,98207
11605,15010,53082,85032,85271
11608,26138,52691,79662,79901
11617,14880,46474,88386,88643
11619,19551,52157,83236,83437
11625,17257,58868,80996,81254
11629,22122,50560,82774,82915
11637,14078,35577,94288,94420
11658,13872,42775,90705,90990
11666,21198,52664,82163,82309
11668,16312,61476,80160,80384
11669,35523,41701,80427,80680
11677,16324,45517,88126,88356
11736,14511,52708,85437,85608
11738,17789,70005,75145,75323
11753,22596,46243,84575,84833
11774,19521,43619,87480,87606
11784,26678,61794,74764,74980
11791,17713,53288,83479,83729
11855,30800,35300,83608,88437
11858,37142,41248,66933,92819
11863,13248,49780,87496,87613
11869,13473,49559,87495,87604
11877,16940,60555,80229,80399
11880,14421,55516,83988,84195
11885,14591,55415,83956,84153
11908,13886,39146,92480,92580
11910,30093,37524,85142,85331
11955,14890,51059,85935,86161
11992,16777,46705,87185,87341
12025,16534,47060,87091,87290
12042,24181,56490,78523,78764
12106,23463,48014,83081,83336
12132,13266,55625,84427,84550
12143,13758,52944,85478,85677
12181,31964,42707,81444,81704
12219,43542,57873,68062,68304
12224,14723,59994,81416,81643
12238,28458,66474,71296,71534
12244,34758,53007,74871,75120
12246,21772,54850,80451,80681
12283,23960,51451,81062,81244
12295,17086,45623,87425,87571
12302,17973,46776,86377,86572
12309,12905,43939,90333,90514
12375,26402,57926,76527,76770
12391,23769,45655,83986,84199
12400,39413,63564,67222,67401
12413,15898,45902,87807,87980
12422,33179,40406,81831,82162
12425,34535,37499,82506,83035
12437,15482,57522,82225,82334
12442,28001,55708,76849,77000
12458,13318,58448,82800,82976
12472,21938,40210,87511,87869
12495,31722,50060,77743,77980
12512,14939,53717,84352,84480
12540,13447,57611,83088,83314
12586,22872,47805,83273,83464
12606,19431,53312,82265,82386
12629,29870,48530,79258,79713
12641,16560,39237,90736,90826
12666,18035,44323,87428,87548
12698,14615,65638,78386,78663
12721,15207,41905,89997,90170
12747,22190,65258,74816,74989
12751,16007,56601,82241,82400
12757,21466,49269,83149,83359
12822,14437,43261,89623,89857
12826,13310,38194,92702,92968
12835,18961,37940,90053,90211
12869,18556,58875,79734,79966
12910,14290,52334,85149,85317
12916,14860,63913,77474,80837
12921,15129,56674,82564,82712
12932,15977,44187,88079,88825
12985,15800,40126,90445,90644
13027,15128,49232,86200,86413
13056,15770,39729,90653,90792
13070,18650,59988,79079,79213
13075,16364,56573,81917,82071
13077,15880,46681,87073,87289
13096,18065,39078,89359,90402
13118,35215,49492,75948,76227
13131,29709,39463,83164,84533
13147,19953,44886,85887,86127
13155,28397,57704,75282,75462
13196,22584,69599,72149,72472
13251,30221,39560,82910,84058
13253,20009,57038,79728,79972
13254,27428,37964,85313,86041
13375,23534,35693,88376,89022
13391,15333,47575,86761,86940
13432,26591,57525,76128,76324
13434,14063,40598,90630,91275
13436,22063,47912,83208,83381
13475,32943,52190,74757,76635
13534,16556,45489,87127,87294
13540,18260,61803,78102,78295
13548,14338,41147,90371,90596
13617,14737,45898,87802,87946
13644,32281,39988,81353,82734
13670,40201,45055,67046,84028
13674,15640,60963,79746,79977
13677,17121,63389,77803,78010
13717,20105,63210,76405,76563
13719,22054,36266,88889,89072
13769,38381,56507,70592,70751
13773,21437,60855,76851,77084
13792,23451,48864,81838,82055
13817,22425,66431,73548,73779
13876,38120,42348,77294,78362
13883,19939,69961,73003,73214
13884,18193,57637,80048,80238
13892,22286,57316,78166,78340
13896,19773,56576,79781,79974
13905,16865,60575,79239,79416
13910,14834,44833,88117,88306
13932,19107,43678,86552,86731
13934,22266,61317,76140,76343
13963,15839,49239,85392,85567
13966,16239,52234,83687,83874
13968,29918,47926,79025,79163
13991,23025,43228,84780,84976
